id,male,age,education,party,dealdebt,tea
494,1,36,3,2,1,0
495,0,33,4,2,3,0
496,0,56,1,2,3,1
497,1,25,4,2,3,0
498,1,79,4,2,1,0
499,1,46,2,1,3,0
500,1,67,3,1,3,0
501,1,52,3,1,2,0
502,0,52,4,2,3,0
503,0,52,2,3,1,1
504,0,60,4,2,3,0
505,0,33,4,1,1,0
506,1,60,4,3,1,1
507,0,29,2,2,1,0
508,1,53,4,1,3,0
509,1,71,2,2,1,0
510,0,65,2,2,2,0
511,0,57,4,1,3,0
512,1,39,2,2,1,0
513,0,49,4,2,1,1
514,1,52,3,2,3,0
515,0,82,4,3,1,1
516,0,81,3,1,1,0
517,1,57,4,2,3,1
518,0,24,4,2,1,0
519,0,54,3,1,3,0
520,1,48,3,3,1,1
521,0,53,4,1,1,0
522,1,47,2,3,1,0
523,1,26,2,1,2,0
524,0,71,2,3,1,0
525,1,52,4,3,1,1
526,0,41,3,3,1,1
527,1,20,3,3,1,1
528,0,64,2,2,3,0
529,0,65,3,2,3,0
530,1,18,3,2,1,0
531,0,59,1,3,1,1
532,1,83,2,1,3,0
533,0,33,3,2,1,1
534,1,21,2,2,1,0
535,0,64,2,2,1,1
536,1,43,4,2,3,0
537,0,71,3,1,3,0
538,1,78,2,3,1,1
539,1,21,3,1,3,0
540,1,57,3,2,1,1
541,1,80,4,3,3,0
542,1,73,2,3,3,1
543,0,45,4,2,1,0
544,0,62,3,2,1,1
545,1,71,4,1,3,0
546,1,72,4,1,3,0
547,1,59,3,2,1,1
548,1,75,2,3,1,1
549,0,80,2,1,3,0
550,1,34,3,3,1,0
551,0,32,3,1,3,0
552,1,62,3,2,1,1
553,0,46,3,2,1,1
554,1,44,1,2,1,1
555,1,20,3,3,3,0
556,0,60,4,1,1,0
557,1,46,4,3,1,0
558,0,63,2,3,1,1
559,0,28,4,2,3,0
560,0,48,2,1,1,0
561,1,53,2,2,1,1
562,1,44,4,3,1,1
563,1,64,3,1,1,0
564,1,33,4,2,3,0
565,1,77,3,1,3,0
566,0,65,4,2,3,0
567,1,76,2,2,1,1
568,1,74,1,2,1,1
569,1,48,4,2,1,1
570,1,72,4,2,3,0
571,0,51,3,2,1,0
572,0,67,4,2,1,0
573,1,58,4,2,1,1
574,1,66,3,1,3,0
575,0,75,2,3,1,1
